applicant_id,age,gender,education,employment_type,annual_income,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,monthly_expenses,emi_estimate,dti_ratio,assets_value,has_collateral,co_applicant,loan_purpose,loan_approved
APP0079,36,Male,PhD,Salaried,1048389,1796228,84,17.79,609,1,56921,37532,62.5,870670,0,1,Vehicle,1
APP0080,38,Female,Master's,Salaried,1838295,679674,36,13.76,703,2,50499,23150,25.0,4630239,1,0,Home,1
APP0081,44,Male,Bachelor's,Salaried,1659089,1856242,12,14.95,594,3,11840,167497,123.72,1352471,0,1,Home,0
APP0082,46,Male,PhD,Salaried,1058326,448845,36,7.58,703,1,70077,13978,39.69,4281282,1,1,Personal,1
APP0083,45,Male,Bachelor's,Self-Employed,1496517,143246,24,12.94,684,2,36440,6806,14.22,3425565,1,1,Vehicle,1
APP0084,61,Male,Bachelor's,Salaried,1967708,1194440,120,7.89,606,4,40183,14423,16.15,3314497,1,1,Education,1
APP0085,49,Male,Master's,Salaried,350653,258886,24,13.48,820,4,7389,12366,49.9,2453820,1,1,Home,1
APP0086,35,Male,Master's,Salaried,517336,320561,120,17.17,526,4,60076,5606,54.81,1880414,1,1,Business,1
APP0087,21,Male,Bachelor's,Business Owner,463606,1479608,36,17.67,667,0,71299,53247,193.18,238078,0,0,Business,0
APP0088,45,Female,High School,Unemployed,20884,1264413,48,13.18,604,3,44023,34034,2712.92,3385868,1,1,Vehicle,0
APP0089,27,Male,Bachelor's,Salaried,1968109,910931,24,12.31,845,2,55029,43013,36.29,3813209,1,0,Vehicle,1
APP0090,29,Female,PhD,Self-Employed,1133015,1343736,36,17.42,733,3,44941,48189,65.32,2885201,1,1,Education,1
APP0091,44,Female,Bachelor's,Salaried,1586826,237646,12,14.57,621,0,58950,21401,29.56,43016,0,1,Vehicle,1
APP0092,21,Male,Bachelor's,Salaried,1559385,1070332,36,8.18,654,2,70363,33629,42.12,2541040,1,0,Home,1
APP0093,64,Female,Bachelor's,Self-Employed,1948350,1582337,36,12.39,847,2,66742,52851,44.88,1334996,0,0,Personal,1
APP0094,28,Male,Bachelor's,Business Owner,1591730,833566,60,10.02,594,1,50215,17719,24.72,3480112,1,1,Vehicle,1
APP0095,44,Female,Bachelor's,Unemployed,59993,864107,24,12.43,521,3,52857,40850,1134.05,2989876,1,0,Education,0
APP0096,31,Male,PhD,Self-Employed,424737,1355257,48,12.28,706,3,60476,35876,152.61,1235383,0,0,Education,0
APP0097,37,Male,Bachelor's,Salaried,1094235,1564059,48,13.61,708,1,33173,42435,57.45,3687975,1,1,Business,1
APP0098,28,Male,High School,Self-Employed,843970,1794499,60,11.25,739,4,14395,39241,61.93,3698538,1,0,Home,1
APP0099,55,Female,High School,Salaried,1786250,585620,120,9.22,740,0,64768,7488,18.08,26567,0,0,Home,1
APP0100,55,Male,Master's,Self-Employed,586213,829105,84,12.79,839,3,51229,14989,62.14,3599467,1,1,Business,1
APP0101,53,Female,Bachelor's,Salaried,1303036,855609,120,16.22,525,1,31639,14450,22.05,1111284,1,0,Education,1
APP0102,25,Male,Bachelor's,Self-Employed,599437,966992,48,14.47,571,2,67583,26653,93.94,2223358,1,0,Business,0
APP0103,62,Female,Master's,Salaried,616690,270326,36,11.05,739,1,33924,8857,37.04,4741152,1,1,Home,1
APP0104,59,Male,Master's,Salaried,1223577,773807,60,17.32,580,4,77969,19364,41.93,3795788,1,1,Business,1
APP0105,61,Female,Master's,Business Owner,1363951,1360425,12,17.08,548,0,35104,124129,118.47,461365,0,1,Home,0
APP0106,48,Male,Master's,Salaried,1099092,369248,24,9.7,847,4,42594,16988,32.5,2333261,1,1,Home,1
APP0107,27,Male,Bachelor's,Salaried,352117,396479,24,7.91,534,2,8664,17915,69.91,2593103,1,1,Personal,0
APP0108,29,Male,Master's,Salaried,1077751,1475658,24,15.28,648,2,15528,71746,85.07,2188409,1,0,Vehicle,0
APP0109,28,Male,Bachelor's,Salaried,1365158,1179306,36,16.19,674,2,33190,41572,45.29,528742,0,0,Education,1
APP0110,32,Male,Master's,Salaried,1747485,1496743,12,17.66,797,2,71033,136979,108.7,4431449,1,0,Home,1
APP0111,54,Male,Master's,Salaried,1122426,1336050,60,16.84,511,1,66161,33089,56.6,22873,0,0,Vehicle,1
APP0112,53,Female,Master's,Business Owner,878066,340477,60,13.81,717,2,78177,7889,42.83,1324447,1,1,Vehicle,1
APP0113,43,Male,Bachelor's,Salaried,1825199,333817,24,13.07,599,2,75179,15881,25.27,4787662,1,1,Personal,1
APP0114,44,Male,High School,Unemployed,24366,950853,12,7.79,736,1,75592,82621,5183.29,4422801,1,0,Personal,0
APP0115,57,Male,Bachelor's,Self-Employed,663930,1663734,12,10.09,598,2,37899,146338,285.04,4835805,1,1,Vehicle,0
APP0116,55,Male,PhD,Salaried,295558,303017,12,12.33,821,4,75979,26969,202.03,705339,1,0,Education,0
APP0117,64,Male,PhD,Self-Employed,1657032,701824,48,14.1,598,4,22241,19214,18.75,1233548,1,0,Vehicle,1
APP0118,60,Male,High School,Salaried,1209260,383245,48,13.35,458,3,51211,10348,25.51,4778391,1,1,Business,1
APP0119,42,Male,High School,Self-Employed,989148,859253,24,15.3,609,4,68472,41785,75.61,2717569,1,0,Home,1
APP0120,47,Female,High School,Salaried,1396222,1124070,12,10.44,656,0,79248,99054,105.57,3560274,1,0,Education,0
APP0121,55,Female,Master's,Salaried,1715509,1722341,84,13.43,777,0,78757,31737,38.73,1712238,0,0,Home,1
APP0122,21,Male,Master's,Business Owner,1753091,1486803,12,8.43,566,0,36346,129630,96.2,2044523,1,0,Home,0
APP0123,55,Male,Bachelor's,Business Owner,917186,1828096,60,11.84,568,1,47220,40517,71.54,4563736,1,1,Home,1
APP0124,57,Female,Bachelor's,Business Owner,1924149,424842,60,15.38,766,4,22942,10192,10.65,243761,0,1,Vehicle,1
APP0125,34,Male,Master's,Salaried,271916,423704,24,14.78,556,0,54167,20500,162.18,990221,1,0,Business,0
APP0126,23,Male,Master's,Self-Employed,1970087,1492627,84,17.9,663,3,41373,31284,26.62,4437125,1,0,Vehicle,1
APP0127,21,Male,Bachelor's,Salaried,1508166,1092630,12,10.42,665,1,72143,96273,93.82,3697235,1,1,Education,0
APP0128,25,Female,Bachelor's,Salaried,972378,330790,120,12.73,699,3,7016,4887,8.63,435485,1,1,Home,1
APP0129,46,Female,Bachelor's,Salaried,1823770,173777,84,10.96,612,4,74110,2972,16.58,1688120,1,0,Vehicle,1
APP0130,34,Male,Bachelor's,Self-Employed,1323270,1700224,24,12.13,596,2,51309,80139,86.63,3355455,1,0,Home,0
APP0131,59,Male,Bachelor's,Salaried,613867,1398055,60,16.5,710,3,12274,34371,74.39,1973744,1,1,Vehicle,1
APP0132,47,Male,Bachelor's,Salaried,1055126,905783,120,14.68,599,2,20748,14436,23.5,4354657,1,1,Personal,1
APP0133,29,Female,Master's,Business Owner,1530728,951366,60,16.77,557,1,25175,23526,24.36,1830927,1,0,Home,1
APP0134,35,Male,Bachelor's,Salaried,1229242,183501,48,9.64,790,3,16826,4622,9.44,2522189,1,1,Home,1
APP0135,35,Male,Master's,Salaried,270474,1402670,24,16.67,723,3,39129,69129,358.77,942151,0,0,Vehicle,0
APP0136,46,Female,High School,Salaried,1811049,634942,24,8.13,839,1,75009,28754,33.96,476015,0,0,Personal,1
APP0137,62,Male,Bachelor's,Business Owner,550068,419566,12,16.83,750,1,28490,38233,102.05,876611,1,0,Business,0
APP0138,33,Female,High School,Salaried,1510624,1470654,12,10.96,565,0,46435,129951,114.29,337088,0,1,Personal,0
APP0139,52,Male,Bachelor's,Salaried,1191921,169975,48,10.8,688,4,13520,4377,8.49,3427495,1,0,Education,1
APP0140,59,Male,Master's,Business Owner,926499,773503,120,12.88,588,3,66877,11495,40.87,4070936,1,0,Personal,1
APP0141,52,Male,PhD,Business Owner,1021412,1451906,36,17.38,531,3,24798,52039,69.88,355970,0,0,Home,0
APP0142,24,Female,High School,Salaried,1795368,1464954,84,8.0,639,1,59638,22833,27.22,4408421,1,1,Home,1
APP0143,50,Female,Bachelor's,Self-Employed,1303546,1725190,36,11.2,768,1,74072,56644,72.6,1786741,0,0,Personal,1
APP0144,57,Female,Master's,Self-Employed,1527486,1176103,36,16.49,704,4,72309,41633,49.75,3256101,1,0,Personal,1
APP0145,43,Male,Bachelor's,Self-Employed,841232,398848,24,11.66,554,1,34894,18712,41.62,1972645,1,0,Home,1
APP0146,59,Female,Bachelor's,Salaried,604911,1531177,84,9.59,636,2,67963,25096,90.23,4151235,1,1,Home,0
APP0147,35,Male,Master's,Business Owner,611012,216991,24,11.96,667,2,59567,10210,55.15,4444279,1,0,Home,1
APP0148,63,Male,Bachelor's,Salaried,1422191,146952,84,11.55,527,2,40326,2559,12.37,3999634,1,0,Home,1
APP0149,49,Female,High School,Salaried,1746242,1945790,60,17.11,744,2,60059,48473,45.69,2715366,1,0,Home,1
APP0150,56,Male,Bachelor's,Salaried,1937075,383260,24,15.5,659,4,10079,18674,13.44,437538,0,1,Personal,1
APP0151,33,Male,Master's,Salaried,1369070,515806,24,12.8,554,3,30838,24474,29.56,2224615,1,1,Business,1
APP0152,52,Male,Bachelor's,Salaried,1781666,926058,24,17.88,549,2,52109,46179,41.63,1150112,1,1,Business,1
APP0153,27,Male,High School,Self-Employed,371277,1532179,120,12.39,779,1,30594,22329,101.83,806560,0,1,Business,0
APP0154,42,Male,Master's,Salaried,691966,1769759,48,8.11,645,2,47749,43296,99.92,1300557,0,1,Vehicle,0
APP0155,48,Female,High School,Salaried,496303,96015,24,10.25,787,4,41292,4442,40.69,3476873,1,0,Business,1
APP0156,22,Male,Master's,Salaried,1260092,152877,12,12.08,821,1,79534,13589,35.66,786872,1,1,Vehicle,1
APP0157,62,Female,Bachelor's,Salaried,1561212,1376059,12,9.15,772,2,56818,120434,105.67,2027035,1,0,Education,0
APP0158,26,Female,PhD,Unemployed,57530,1621741,84,17.45,631,3,18429,33565,815.27,4374989,1,0,Vehicle,0
APP0159,48,Male,Bachelor's,Salaried,1886622,1757427,60,15.55,455,1,62748,42318,38.89,1696355,0,1,Vehicle,1
APP0160,48,Male,Bachelor's,Salaried,1803344,443922,48,10.32,708,1,53807,11327,18.28,3643003,1,0,Business,1
APP0161,64,Male,High School,Salaried,383163,1720357,120,13.7,868,3,12140,26402,94.09,760416,0,0,Personal,0
APP0162,64,Female,Bachelor's,Salaried,1376599,721088,84,15.08,676,1,68226,13947,30.0,1048581,1,0,Education,1
APP0163,40,Male,Master's,Salaried,572339,974501,12,17.38,500,2,19901,89055,199.23,1529451,1,1,Business,0
APP0164,50,Female,PhD,Self-Employed,1427414,1595329,48,16.76,619,1,33525,45835,46.99,802914,0,0,Home,1
APP0165,31,Male,Bachelor's,Unemployed,28807,765768,48,12.91,663,2,25491,20509,1172.41,2851341,1,1,Business,0
APP0166,48,Male,Bachelor's,Salaried,471409,1025601,60,15.63,581,3,73816,24739,119.34,1251521,1,1,Education,0
APP0167,45,Male,Master's,Self-Employed,838453,441670,48,13.4,449,0,39980,11937,34.25,3497859,1,1,Home,1
APP0168,59,Male,Master's,Self-Employed,843789,481739,24,13.3,671,3,13078,22971,38.25,2319474,1,0,Education,1
APP0169,53,Female,Bachelor's,Business Owner,1581710,1744512,48,8.7,609,2,53704,43164,44.97,3420929,1,1,Vehicle,1
APP0170,21,Female,Bachelor's,Salaried,694670,1385883,60,8.82,839,4,21997,28648,60.89,4262911,1,0,Home,1
APP0171,47,Male,Bachelor's,Salaried,1001818,1771654,84,13.06,689,3,5868,32288,40.78,1338223,0,0,Personal,1
APP0172,33,Female,Bachelor's,Salaried,1023857,661796,60,10.32,722,4,31398,14166,27.64,3562709,1,0,Home,1
APP0173,61,Male,High School,Self-Employed,321635,789127,120,7.72,669,4,26246,9458,64.66,3246824,1,1,Personal,1
APP0174,23,Female,Bachelor's,Business Owner,898614,1400339,60,15.09,688,2,25561,33380,54.81,3134122,1,0,Business,1
APP0175,59,Female,Bachelor's,Salaried,420935,1372846,12,7.84,531,2,21254,119320,358.32,3716628,1,0,Education,0
APP0176,26,Male,Master's,Salaried,1760142,1687790,24,13.75,586,0,39512,80836,63.19,3407266,1,0,Education,1
APP0177,28,Male,High School,Business Owner,1302210,90633,12,13.16,777,1,62865,8102,24.85,4278639,1,0,Business,1
APP0178,47,Male,Bachelor's,Business Owner,1204221,1307302,84,17.67,698,3,28580,27224,35.67,617300,0,1,Vehicle,1
APP0179,29,Male,Bachelor's,Unemployed,33769,1101893,36,12.58,644,2,75959,36905,2120.46,4276052,1,1,Business,0
APP0180,57,Female,Bachelor's,Self-Employed,1073420,357124,84,8.17,723,3,77144,5597,32.13,4072660,1,1,Education,1
APP0181,53,Male,High School,Salaried,692503,880547,24,13.29,725,4,47485,41983,97.43,4881083,1,0,Vehicle,0
APP0182,62,Male,Bachelor's,Self-Employed,418599,1815582,48,16.33,859,1,55621,51761,196.21,3210923,1,0,Personal,0
APP0183,64,Female,Bachelor's,Self-Employed,437919,1928166,60,17.97,694,0,55665,48931,179.84,2826207,1,1,Home,0
APP0184,44,Female,Bachelor's,Salaried,668668,761323,36,12.02,584,3,75412,25294,85.99,4495590,1,0,Education,0
APP0185,35,Male,Bachelor's,Salaried,603359,1539423,24,10.86,669,1,55603,71649,175.67,2882760,1,1,Home,0
APP0186,52,Male,Bachelor's,Self-Employed,1733183,1803252,12,17.02,734,0,26038,164482,119.29,3217268,1,0,Business,0
APP0187,52,Male,Master's,Salaried,1840307,1466084,60,9.51,769,3,19325,30798,23.86,1893959,1,1,Business,1
APP0188,44,Male,Bachelor's,Self-Employed,1540144,1551134,84,13.96,534,1,40892,29034,32.18,1825779,0,0,Home,1
APP0189,61,Female,Master's,Self-Employed,1599564,1376224,12,11.76,702,2,6753,122121,93.13,4329266,1,0,Home,0
APP0190,32,Male,Bachelor's,Unemployed,19094,773953,24,7.93,599,3,22996,34979,2630.24,2949271,1,1,Home,0
APP0191,59,Male,High School,Salaried,241505,469876,24,11.15,629,1,73811,21933,219.0,2143781,1,1,Education,0
APP0192,22,Male,High School,Salaried,1351054,1922204,84,10.28,756,0,79283,32190,49.72,2789879,1,0,Education,1
APP0193,23,Male,Bachelor's,Self-Employed,1311275,1950946,36,14.7,747,1,50211,67344,75.41,4141042,1,1,Personal,1
APP0194,57,Female,Master's,Salaried,1144461,976109,84,17.46,618,2,67820,20208,42.52,1519546,1,1,Vehicle,1
APP0195,37,Female,Master's,Self-Employed,1667256,1418108,48,10.31,665,3,5824,36178,27.3,2055408,1,0,Home,1
APP0196,22,Male,Master's,Self-Employed,1100444,1310945,12,16.02,631,3,18880,118956,135.89,1379233,0,0,Personal,0
APP0197,22,Male,Bachelor's,Salaried,354721,1678365,36,8.08,900,3,71617,52656,250.81,3752778,1,0,Vehicle,0
APP0198,48,Male,Bachelor's,Salaried,1210165,758669,60,13.15,705,2,16517,17320,22.09,3305822,1,0,Vehicle,1
APP0199,43,Female,High School,Salaried,1021190,77043,120,8.24,604,0,26683,945,10.52,3203669,1,1,Home,1
APP0200,57,Female,Bachelor's,Salaried,336668,83635,48,17.31,798,3,21876,2427,32.04,4101162,1,0,Education,1
APP0201,52,Female,Bachelor's,Business Owner,478518,260387,36,15.55,802,0,61354,9097,68.97,3451345,1,0,Personal,1
APP0202,53,Female,High School,Business Owner,842974,1179267,120,14.41,841,1,78802,18602,60.13,4190247,1,0,Vehicle,1
APP0203,21,Female,Bachelor's,Self-Employed,1514495,549730,120,16.15,867,0,14982,9260,10.9,3215534,1,0,Education,1
APP0204,39,Male,Bachelor's,Self-Employed,1634520,1918140,12,14.3,743,0,79504,172495,144.15,1717222,0,0,Vehicle,0
APP0205,22,Female,Master's,Salaried,1007461,1056891,24,17.67,648,3,31598,52596,73.94,200211,0,0,Personal,1
APP0206,64,Male,PhD,Business Owner,808269,1900374,60,15.0,661,4,19639,45210,75.87,4830668,1,0,Home,1
APP0207,46,Male,PhD,Self-Employed,1564359,1192520,84,17.21,653,4,75210,24515,36.11,4250220,1,1,Vehicle,1
APP0208,52,Male,Bachelor's,Self-Employed,1362586,777467,12,12.93,643,2,74852,69416,80.91,672960,0,0,Personal,0
APP0209,26,Male,Bachelor's,Business Owner,1803969,505796,48,8.73,791,2,14695,12522,11.26,1454915,1,1,Home,1
APP0210,52,Male,Bachelor's,Salaried,723472,951699,120,13.05,680,4,53582,14238,50.28,2095383,1,0,Business,1
APP0211,24,Female,Master's,Business Owner,606884,1614154,48,8.83,767,1,36094,40038,100.58,790243,0,0,Vehicle,0
APP0212,31,Male,High School,Salaried,459021,1047057,120,13.72,740,3,65635,16081,93.51,4749868,1,0,Business,0
APP0213,37,Female,Bachelor's,Salaried,347032,1137812,24,12.57,581,3,27187,53864,214.45,2282369,1,0,Education,0
APP0214,58,Male,Master's,Salaried,850807,1364870,24,14.04,525,1,6214,65557,95.09,867481,0,1,Education,0
APP0215,44,Male,Bachelor's,Unemployed,33576,1472089,60,7.61,568,1,28940,29575,1366.81,4396054,1,1,Business,0
APP0216,25,Male,Bachelor's,Business Owner,657820,855855,84,9.55,641,4,49406,14010,52.59,1268430,1,1,Home,1
APP0217,54,Male,Bachelor's,Self-Employed,1089171,1627001,60,12.66,692,2,48481,36737,56.5,746403,0,1,Education,1
APP0218,26,Female,High School,Self-Employed,1562516,604280,24,17.48,621,1,20977,30017,27.89,3041370,1,0,Home,1
APP0219,42,Male,Bachelor's,Self-Employed,477948,1995548,24,11.53,743,2,49839,93500,272.29,4905349,1,0,Home,0
APP0220,31,Male,Bachelor's,Business Owner,1900596,1061942,48,11.96,632,0,62874,27944,29.55,4127269,1,1,Personal,1
APP0221,36,Male,High School,Salaried,1233237,165140,24,15.0,703,3,63414,8007,26.3,831284,1,1,Education,1
APP0222,53,Female,High School,Salaried,1918562,225993,36,13.84,690,4,30538,7706,10.55,2602021,1,1,Personal,1
APP0223,29,Female,Master's,Salaried,359204,1744089,120,10.64,836,3,61241,23671,140.45,1751772,0,0,Home,0
